component,occurrences,example_source_paths,category,target_mapping,status,risk,batchable,decision_refs,notes
Structure,5,docs/convoai/best-practice/audio-settings.mdx|docs/convoai/user-guides/interrupt-agent.mdx|docs/convoai/user-guides/listen-agent-events.mdx|docs/convoai/user-guides/realtime-sub.mdx|docs/convoai/user-guides/send-multimodal-message.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 5 source files include this legacy JSX tag after code fences were excluded.
Api,4,docs/cloud-recording/user-guides/individual-mode/set-individual.mdx|docs/cloud-recording/user-guides/mix-mode/set-composite.mdx|docs/cloud-recording/user-guides/snapshot.mdx|docs/cloud-recording/user-guides/web-mode/set-webpage-recording.mdx,api-reference,prefer structured API/OpenAPI source; otherwise conservative Markdown reference rewrite,needs_review,high,no,legacy-casebook:api-reference-mdx,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
ApiSectionCard,4,docs-api-reference/dummy-product/test/overload-method-card.mdx,landing-or-card,Markdown links/lists or project-approved cards directive after IA review,needs_review,high,partial,legacy-casebook:landing-pages-and-cards,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Body,4,docs/cloud-recording/webhook/enable-ncs.mdx|docs/cloud-transcoder/webhook/enable-event-notification.mdx|docs/media-pull/webhook/enable-event-notification.mdx|docs/media-push/webhook/enable-ncs.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
Character,4,docs-api-reference/rtm2/toc-message/publish.restful.mdx|docs-api-reference/rtm2/toc-message/receive.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Com,4,docs/cloud-transcoder/webhook/ncs-events.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Demotoken,4,docs/flexible-classroom/get-started/quick-start.android.mdx|docs/flexible-classroom/get-started/quick-start.electron.mdx|docs/flexible-classroom/get-started/quick-start.ios.mdx|docs/flexible-classroom/get-started/quick-start.javascript.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
Faq,4,docs/cloud-recording/overview/billing-strategy/billing.mdx|docs/cloud-recording/overview/billing-strategy/snapshot-billing.mdx|docs/cloud-recording/overview/billing-strategy/webpage-billing.mdx|docs/cloud-transcoder/overview/billing.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
Format,4,docs/rtc/advanced-features/media-player.android.mdx|docs/rtc/advanced-features/media-player.ios.macos.mdx|docs/rtc/advanced-features/media-player.unity.mdx|docs/rtc/advanced-features/media-player.windows.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
ListPanelBV2,4,docs/dummy-product/test/components.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
OverloadMethodCollapse,4,docs-api-reference/dummy-product/test/overload-method-card.mdx,api-reference,prefer structured API/OpenAPI source; otherwise conservative Markdown reference rewrite,needs_review,high,no,legacy-casebook:api-reference-mdx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Video,4,docs/cloud-recording/api/reference.mdx|docs/cloud-transcoder/api/video-profile.mdx|docs/media-pull/api/video-profile.mdx|docs/media-push/api/video-profile.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 4 source files include this legacy JSX tag after code fences were excluded.
AddObserver,3,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Audio,3,docs/one-to-one-live/custom-signaling/advanced-features/audio-scenario.mdx|docs/one-to-one-live/rtm/advanced-features/audio-scenario.mdx|docs/showroom/advanced-features/audio-scenario.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
AudioModeration1,3,docs/marketplace/integrate-extensions/legacy/_shumei-audio-moderation.mdx|docs/marketplace/integrate-extensions/legacy/_tuputech-audio-moderation.mdx|docs/marketplace/integrate-extensions/yitutech-audio-moderation.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
AudioModeration2,3,docs/marketplace/integrate-extensions/legacy/_shumei-audio-moderation.mdx|docs/marketplace/integrate-extensions/legacy/_tuputech-audio-moderation.mdx|docs/marketplace/integrate-extensions/yitutech-audio-moderation.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Billing,3,docs/online-ktv/auikaraoke/overview/billing.mdx|docs/online-ktv/ktv-scenario/overview/billing.mdx|docs/online-ktv/online-ktv-sdk/overview/billing.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Con,3,docs/cloud-recording/overview/billing-strategy/billing.mdx|docs/cloud-recording/overview/billing-strategy/snapshot-billing.mdx|docs/cloud-recording/overview/billing-strategy/webpage-billing.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Content,3,docs/meeting/api/create-room.restful.mdx|docs/meeting/get-started/call-api.restful.mdx|docs/meeting/webhook/webhook-events.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
CoreParam,3,docs/meeting/get-started/integrate-meeting.android.mdx|docs/meeting/get-started/integrate-meeting.electron.mdx|docs/meeting/get-started/integrate-meeting.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Difference,3,docs/online-ktv/auikaraoke/overview/solution-compare.mdx|docs/online-ktv/ktv-scenario/overview/solution-compare.mdx|docs/online-ktv/online-ktv-sdk/overview/solution-compare.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Env,3,docs/flexible-classroom/get-started/quick-start.android.mdx|docs/flexible-classroom/get-started/quick-start.electron.mdx|docs/flexible-classroom/get-started/quick-start.javascript.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
ExitReason,3,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Extension_Details,3,docs/rtc/best-practice/reduce-app-size.android.ios.macos.windows.electron.mdx|docs/rtc/best-practice/reduce-app-size.rn.flutter.mdx|docs/rtc/best-practice/reduce-app-size.unity.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
ImageGallery,3,docs/dummy-product/landing-page.unity.mdx|docs/dummy-product/test/components.mdx|docs/rtm2/landing-page.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Integration,3,docs/breakout-classroom/paas/integration-guide.mdx|docs/one-to-one-classroom/paas/integration-guide.mdx|docs/small-classroom/paas/integration-guide.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Integration1,3,docs/digital-learning/course-delivery/integration.mdx|docs/digital-learning/course-resource/integration.mdx|docs/digital-learning/school-resource/integration.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Integration2,3,docs/digital-learning/course-delivery/integration.mdx|docs/digital-learning/course-resource/integration.mdx|docs/digital-learning/school-resource/integration.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Logic,3,docs/agora-product/get-started/integrate-showroom.android.mdx|docs/showroom/basic-features/integrate-showroom.android.mdx|docs/showroom/basic-features/integrate-showroom.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Mosvalue,3,docs/rtc/advanced-features/in-call-quality.android.mdx|docs/rtc/advanced-features/in-call-quality.ios.macos.mdx|docs/rtc/advanced-features/in-call-quality.windows.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Pic,3,docs/chatroom/uikit/get-started/run-github-project.android.mdx|docs/chatroom/uikit/get-started/run-github-project.ios.mdx|docs/chatroom/uikit/overview.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Practices,3,docs/breakout-classroom/paas/best-practices.mdx|docs/one-to-one-classroom/paas/best-practices.mdx|docs/small-classroom/paas/best-practices.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Ref,3,docs/rtc/basic-features/token-authentication.android.mdx|docs/rtc/basic-features/token-authentication.ios.macos.mdx|docs/rtc/basic-features/token-authentication.windows.unreal-cpp.unreal-blueprint.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
RemoveObserver,3,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
Resource,3,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
SceneConfig,3,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
SceneCreatorConfig,3,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
UserRole,3,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx|docs-api-reference/meeting/client-api.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 3 source files include this legacy JSX tag after code fences were excluded.
AdvancedFeature,2,docs/smart-camera/advanced-feature.mdx|docs/smart-doorbell/paas/advanced-feature.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Amazon,2,docs/smart-camera/value-added-feature/amazon-alexa.mdx|docs/smart-doorbell/paas/value-added-feature/amazon-alexa.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Auikit,2,docs/chatroom/uikit/get-started/run-github-project.android.mdx|docs/chatroom/uikit/get-started/run-github-project.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Base,2,docs/meeting/api/create-room.restful.mdx|docs/meeting/api/query-recording.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Call,2,docs-api-reference/iot-apaas/device-sdk/call/make-call.mdx|docs-api-reference/iot-apaas/device-sdk/full/make-call.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Common,2,docs-api-reference/rtc/error-code.mdx|docs/rtc/error-code.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
CreateEnvironment,2,docs/marketplace/create-extensions/audio-filter.android.ios.macos.windows.mdx|docs/marketplace/create-extensions/video-filter.android.ios.macos.windows.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
CreatePrerequisites,2,docs/marketplace/create-extensions/audio-filter.android.ios.macos.windows.mdx|docs/marketplace/create-extensions/video-filter.android.ios.macos.windows.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Customer,2,docs/agora-product/get-started/enable-service.mdx|docs/rtmp-gateway/get-started/enable-service.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Data,2,docs/analytics/fls/data.mdx|docs/fusion-cdn/user-guides/analytics.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Devenvweb,2,docs/flexible-classroom/advanced-features/_scene-builder/_deploy-scene.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
DeviceManager,2,docs-api-reference/iot-apaas/device-sdk/call/device-manager.mdx|docs-api-reference/iot-apaas/device-sdk/full/device-manager.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Error,2,docs-api-reference/rtc-server-sdk/error-code.mdx|docs/rtc-server-sdk/error-code.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Flow,2,docs/chatroom/sdk/get-started/quick-integration.android.mdx|docs/chatroom/sdk/get-started/quick-integration.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
GA,2,docs/smart-camera/value-added-feature/google-assistant.mdx|docs/smart-doorbell/paas/value-added-feature/google-assistant.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Increase,2,docs/media-pull/quota.mdx|shared/cloud-recording/quota-information.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Init,2,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
License,2,docs/iot-apaas/get-started/license.mdx|docs/rtsa/basic-features/license.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Migrate,2,docs/whiteboard/fastboard-sdk/get-started/migrate-from-netless.javascript.android.ios.mdx|docs/whiteboard/whiteboard-sdk/get-started/migrate-from-netless.javascript.android.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Object,2,docs/speech-to-text/webhook/ncs-events.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
OnLaunchFailure,2,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
OnLaunchSuccess,2,docs-api-reference/meeting/client-api.android.mdx|docs-api-reference/meeting/client-api.electron.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Ossnotes,2,docs/flexible-classroom/best-practices/courseware.android.ios.javascript.electron.mdx|docs/flexible-classroom/get-started/configure.android.ios.javascript.electron.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Package,2,docs/marketplace/create-extensions/audio-filter.android.ios.macos.windows.mdx|docs/marketplace/create-extensions/video-filter.android.ios.macos.windows.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Path,2,docs/meeting/api/create-room.restful.mdx|docs/meeting/api/query-recording.restful.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Processor,2,docs/marketplace/create-extensions/audio-filter.javascript.mdx|docs/marketplace/create-extensions/video-filter.javascript.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Quickstart,2,docs/smart-camera/get-started/quick-start.mdx|docs/smart-doorbell/paas/get-started/quick-start.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Reference,2,docs/rtc/basic-features/audio-quick-start.unity.mdx|docs/rtc/basic-features/audio-quick-start.windows.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Replace,2,docs/chatroom/uikit/get-started/quick-integration.android.mdx|docs/chatroom/uikit/get-started/quick-integration.ios.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
REST,2,docs/online-ktv/ktv-scenario/api/music-content-center.mdx|docs/online-ktv/online-ktv-sdk/api/music-content-center.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
ServiceBase,2,docs-api-reference/iot-apaas/device-sdk/call/base.mdx|docs-api-reference/iot-apaas/device-sdk/full/base.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
ServiceConfig,2,docs-api-reference/iot-apaas/device-sdk/call/config.mdx|docs-api-reference/iot-apaas/device-sdk/full/config.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Solution,2,docs/one-to-one-classroom/overview/product-overview.mdx|docs/small-classroom/overview/product-overview.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Spatial,2,docs/game-voice/user-guides/spatial-audio-sdk.unity.mdx|docs/rtc/advanced-features/spatial-audio.unity.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Temptoken,2,docs/flexible-classroom/get-started/enable.mdx|docs/meeting/get-started/enable-service.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
Ticker,2,docs/marketplace/create-extensions/audio-filter.javascript.mdx|docs/marketplace/create-extensions/video-filter.javascript.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 2 source files include this legacy JSX tag after code fences were excluded.
AcquireLockResult,1,shared/rtm2/_lock.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Andpreq,1,docs/flexible-classroom/advanced-features/_scene-builder/_deploy-scene.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
AppCertificate,1,docs/iot-apaas/get-started/enable-service.mdx,shared-invocation,inline/include referenced shared content after dependency audit,needs_review,medium,partial,legacy-casebook:shared-imports,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
ArrayList,1,docs/terms/中文翻译/固定用法/固定用法-通用.md,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
ChannelInfo,1,shared/rtm2/_presence.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
CustomId,1,docs/flexible-classroom/get-started/enable.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Devenvand,1,docs/flexible-classroom/advanced-features/_scene-builder/_deploy-scene.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Devenvios,1,docs/flexible-classroom/advanced-features/_scene-builder/_deploy-scene.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
Elecreq,1,docs/flexible-classroom/advanced-features/_scene-builder/_deploy-scene.mdx,custom-mdx,classify before migration; do not preserve legacy JSX by default,needs_review,medium,partial,legacy-casebook:legacy-jsx,Generated 2026-07-02T10:27:25.467Z; 1 source files include this legacy JSX tag after code fences were excluded.
